date,nav,acc_nav
2023-08-25,1.0103,1.0103
2023-08-28,1.0061,1.0061
2023-08-29,1.0894,1.0894
2023-08-30,1.1185,1.1185
2023-08-31,1.1182,1.1182
2023-09-01,1.135,1.135
2023-09-04,1.1238,1.1238
2023-09-05,1.1167,1.1167
2023-09-06,1.112,1.112
2023-09-07,1.0945,1.0945
2023-09-08,1.1078,1.1078
2023-09-11,1.1111,1.1111
2023-09-12,1.1149,1.1149
2023-09-13,1.0869,1.0869
2023-09-14,1.0713,1.0713
2023-09-15,1.068,1.068
2023-09-18,1.0828,1.0828
2023-09-19,1.0673,1.0673
2023-09-20,1.0603,1.0603
2023-09-21,1.052,1.052
2023-09-22,1.083,1.083
2023-09-25,1.1019,1.1019
2023-09-26,1.1124,1.1124
2023-09-27,1.1132,1.1132
2023-09-28,1.1056,1.1056
2023-10-09,1.1085,1.1085
2023-10-10,1.0866,1.0866
2023-10-11,1.0964,1.0964
2023-10-12,1.0833,1.0833
2023-10-13,1.0608,1.0608
2023-10-16,1.06,1.06
2023-10-17,1.0474,1.0474
2023-10-18,1.0359,1.0359
2023-10-19,1.0241,1.0241
2023-10-20,1.0043,1.0043
2023-10-23,0.983,0.983
2023-10-24,0.9844,0.9844
2023-10-25,0.9975,0.9975
2023-10-26,1.0022,1.0022
2023-10-27,1.0109,1.0109
2023-10-30,1.0434,1.0434
2023-10-31,1.0267,1.0267
2023-11-01,1.0216,1.0216
2023-11-02,1.0027,1.0027
2023-11-03,1.0489,1.0489
2023-11-06,1.0896,1.0896
2023-11-07,1.0936,1.0936
2023-11-08,1.0932,1.0932
2023-11-09,1.0983,1.0983
2023-11-10,1.0947,1.0947
2023-11-13,1.0996,1.0996
2023-11-14,1.1047,1.1047
2023-11-15,1.1218,1.1218
2023-11-16,1.1013,1.1013
2023-11-17,1.1171,1.1171
2023-11-20,1.1443,1.1443
2023-11-21,1.1266,1.1266
2023-11-22,1.0998,1.0998
2023-11-23,1.1191,1.1191
2023-11-24,1.099,1.099
2023-11-27,1.1029,1.1029
2023-11-28,1.1158,1.1158
2023-11-29,1.1172,1.1172
2023-11-30,1.1148,1.1148
2023-12-01,1.1062,1.1062
2023-12-04,1.0996,1.0996
2023-12-05,1.0715,1.0715
2023-12-06,1.0664,1.0664
2023-12-07,1.0715,1.0715
2023-12-08,1.0785,1.0785
2023-12-11,1.1008,1.1008
2023-12-12,1.0912,1.0912
2023-12-13,1.1078,1.1078
2023-12-14,1.0982,1.0982
2023-12-15,1.0849,1.0849
2023-12-18,1.0746,1.0746
2023-12-19,1.085,1.085
2023-12-20,1.0652,1.0652
2023-12-21,1.069,1.069
2023-12-22,1.0617,1.0617
2023-12-25,1.0704,1.0704
2023-12-26,1.0428,1.0428
