date,nav,acc_nav
2024-11-06,1.1024,1.1024
2024-11-07,1.1027,1.1027
2024-11-08,1.1028,1.1028
2024-11-11,1.103,1.103
2024-11-12,1.1033,1.1033
2024-11-13,1.1032,1.1032
2024-11-14,1.1033,1.1033
2024-11-15,1.1035,1.1035
2024-11-18,1.1035,1.1035
2024-11-19,1.1035,1.1035
2024-11-20,1.1035,1.1035
2024-11-21,1.1036,1.1036
2024-11-22,1.1039,1.1039
2024-11-25,1.1043,1.1043
2024-11-26,1.1045,1.1045
2024-11-27,1.1046,1.1046
2024-11-28,1.1047,1.1047
2024-11-29,1.1058,1.1058
2024-12-02,1.1077,1.1077
2024-12-03,1.1077,1.1077
2024-12-04,1.1085,1.1085
2024-12-05,1.109,1.109
2024-12-06,1.1088,1.1088
2024-12-09,1.1095,1.1095
2024-12-10,1.1115,1.1115
2024-12-11,1.1117,1.1117
2024-12-12,1.1117,1.1117
2024-12-13,1.1122,1.1122
2024-12-16,1.1124,1.1124
2024-12-17,1.1123,1.1123
2024-12-18,1.1123,1.1123
2024-12-19,1.1123,1.1123
2024-12-20,1.1135,1.1135
2024-12-23,1.114,1.114
2024-12-24,1.1139,1.1139
2024-12-25,1.1137,1.1137
2024-12-26,1.1137,1.1137
2024-12-27,1.1142,1.1142
2024-12-30,1.1145,1.1145
2024-12-31,1.1149,1.1149
2025-01-02,1.1174,1.1174
2025-01-03,1.1173,1.1173
2025-01-06,1.1175,1.1175
2025-01-07,1.117,1.117
2025-01-08,1.1169,1.1169
2025-01-09,1.1165,1.1165
2025-01-10,1.1163,1.1163
2025-01-13,1.1159,1.1159
2025-01-14,1.1158,1.1158
2025-01-15,1.1157,1.1157
2025-01-16,1.1151,1.1151
2025-01-17,1.1149,1.1149
2025-01-20,1.1148,1.1148
2025-01-21,1.1148,1.1148
2025-01-22,1.115,1.115
2025-01-23,1.1147,1.1147
2025-01-24,1.1145,1.1145
2025-01-27,1.1152,1.1152
2025-02-05,1.1156,1.1156
2025-02-06,1.1165,1.1165
2025-02-07,1.1167,1.1167
2025-02-10,1.1163,1.1163
2025-02-11,1.1161,1.1161
2025-02-12,1.116,1.116
2025-02-13,1.1159,1.1159
2025-02-14,1.1155,1.1155
2025-02-17,1.1153,1.1153
2025-02-18,1.115,1.115
2025-02-19,1.1151,1.1151
2025-02-20,1.1142,1.1142
2025-02-21,1.1141,1.1141
2025-02-24,1.1138,1.1138
2025-02-25,1.1137,1.1137
2025-02-26,1.1138,1.1138
2025-02-27,1.1137,1.1137
2025-02-28,1.1137,1.1137
2025-03-03,1.1146,1.1146
2025-03-04,1.1146,1.1146
2025-03-05,1.1147,1.1147
2025-03-06,1.1145,1.1145
2025-03-07,1.1143,1.1143
2025-03-10,1.1142,1.1142
2025-03-11,1.1142,1.1142
2025-03-12,1.1143,1.1143
2025-03-13,1.1144,1.1144
2025-03-14,1.1146,1.1146
2025-03-17,1.1136,1.1136
2025-03-18,1.114,1.114
2025-03-19,1.1141,1.1141
2025-03-20,1.115,1.115
2025-03-21,1.1151,1.1151
